,Model,Accuracy,Precision,Recall,F1,ROC_AUC,MCC,Specificity,CV,Repeat,target,target_id,feature,turner
40,lasso,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,Fold1,5,Project,ProjectA,False,True
41,lasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold2,5,Project,ProjectA,False,True
42,lasso,0.6,0.5,0.5,0.5,0.5,0.16666666666666666,0.6666666666666666,Fold3,5,Project,ProjectA,False,True
43,lasso,0.6,0.5,1.0,0.6666666666666666,0.5,0.4082482904638631,0.3333333333333333,Fold4,5,Project,ProjectA,False,True
44,lasso,0.4,0.3333333333333333,0.5,0.4,0.5,-0.16666666666666666,0.3333333333333333,Fold5,5,Project,ProjectA,False,True
45,lasso,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold6,5,Project,ProjectA,False,True
46,lasso,0.4,0.5,0.3333333333333333,0.4,0.3333333333333333,-0.16666666666666666,0.5,Fold7,5,Project,ProjectA,False,True
47,lasso,0.8,0.75,1.0,0.8571428571428571,0.5,0.6123724356957946,0.5,Fold8,5,Project,ProjectA,False,True
48,lasso,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.5,Fold9,5,Project,ProjectA,False,True
49,lasso,0.6,1.0,0.3333333333333333,0.5,1.0,0.4082482904638631,1.0,Fold10,5,Project,ProjectA,False,True
50,lasso,0.6,0.5,0.5,0.5,0.8333333333333334,0.16666666666666666,0.6666666666666666,Fold1,6,Project,ProjectA,False,True
51,lasso,0.4,0.3333333333333333,0.5,0.4,0.33333333333333337,-0.16666666666666666,0.3333333333333333,Fold2,6,Project,ProjectA,False,True
52,lasso,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold3,6,Project,ProjectA,False,True
53,lasso,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,Fold4,6,Project,ProjectA,False,True
54,lasso,0.6,0.5,1.0,0.6666666666666666,0.33333333333333337,0.4082482904638631,0.3333333333333333,Fold5,6,Project,ProjectA,False,True
55,lasso,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,Fold6,6,Project,ProjectA,False,True
56,lasso,0.4,0.5,0.3333333333333333,0.4,0.6666666666666666,-0.16666666666666666,0.5,Fold7,6,Project,ProjectA,False,True
57,lasso,0.6,0.6,1.0,0.75,1.0,0.0,0.0,Fold8,6,Project,ProjectA,False,True
58,lasso,0.2,0.0,0.0,0.0,0.16666666666666666,-0.6123724356957946,0.5,Fold9,6,Project,ProjectA,False,True
59,lasso,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold10,6,Project,ProjectA,False,True
60,lasso,0.8,1.0,0.5,0.6666666666666666,0.5,0.6123724356957946,1.0,Fold1,7,Project,ProjectA,False,True
61,lasso,0.4,0.0,0.0,0.0,0.6666666666666667,-0.4082482904638631,0.6666666666666666,Fold2,7,Project,ProjectA,False,True
62,lasso,0.6,0.5,1.0,0.6666666666666666,0.6666666666666667,0.4082482904638631,0.3333333333333333,Fold3,7,Project,ProjectA,False,True
63,lasso,0.6,1.0,0.0,0.0,0.8333333333333334,0.0,1.0,Fold4,7,Project,ProjectA,False,True
64,lasso,0.8,1.0,0.5,0.6666666666666666,0.8333333333333334,0.6123724356957946,1.0,Fold5,7,Project,ProjectA,False,True
65,lasso,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,Fold6,7,Project,ProjectA,False,True
66,lasso,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,Fold7,7,Project,ProjectA,False,True
67,lasso,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,Fold8,7,Project,ProjectA,False,True
68,lasso,0.8,0.75,1.0,0.8571428571428571,0.6666666666666666,0.6123724356957946,0.5,Fold9,7,Project,ProjectA,False,True
69,lasso,0.8,0.75,1.0,0.8571428571428571,0.5,0.6123724356957946,0.5,Fold10,7,Project,ProjectA,False,True
70,lasso,0.6,0.5,0.5,0.5,0.6666666666666667,0.16666666666666666,0.6666666666666666,Fold1,8,Project,ProjectA,False,True
71,lasso,0.6,0.5,1.0,0.6666666666666666,0.33333333333333337,0.4082482904638631,0.3333333333333333,Fold2,8,Project,ProjectA,False,True
72,lasso,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.6666666666666666,0.6666666666666666,Fold3,8,Project,ProjectA,False,True
73,lasso,0.8,1.0,0.5,0.6666666666666666,0.6666666666666667,0.6123724356957946,1.0,Fold4,8,Project,ProjectA,False,True
74,lasso,0.8,1.0,0.5,0.6666666666666666,1.0,0.6123724356957946,1.0,Fold5,8,Project,ProjectA,False,True
75,lasso,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold6,8,Project,ProjectA,False,True
76,lasso,0.8,0.75,1.0,0.8571428571428571,0.6666666666666666,0.6123724356957946,0.5,Fold7,8,Project,ProjectA,False,True
